DATE,CLOSE,SPREAD,VOLUME,UNEMP %,OIL PRICE,NEW HOMES,NEW CARS SOLD,RETAIL SALES,FED INTRST %,CSI
2007-07-01,13211.990234,822.1601559999999,5512040000.0,4.7,76.93,1354.0,15.8,332228.0,5.26,90.4
2007-08-01,13357.740234,1177.8798829999996,6199120000.0,4.6,70.76,1330.0,16.4,333830.0,5.02,83.4
2007-09-01,13895.629883000001,902.8798819999993,4328370000.0,4.7,77.17,1183.0,16.5,335509.0,4.94,83.4
2007-10-01,13930.009766,790.609375,5010920000.0,4.7,82.34,1264.0,16.5,337458.0,4.76,80.9
2007-11-01,13371.719727,1200.0703119999998,5980230000.0,4.7,92.41,1197.0,16.4,340872.0,4.49,76.1
2007-12-01,13264.820313,688.1103520000015,4310320000.0,5.0,90.93,1037.0,16.0,336844.0,4.24,75.5
2008-01-01,12650.360352,1644.7197259999994,7459830000.0,5.0,92.18,1084.0,15.7,337537.0,3.94,78.4
2008-02-01,12266.389648,698.2705070000011,5720360000.0,4.9,94.99,1103.0,15.5,334524.0,2.98,70.8
2008-03-01,12262.889648,890.4707039999994,6229020000.0,5.1,103.64,1005.0,15.1,335104.0,2.61,69.5
2008-04-01,12820.129883,743.5302730000003,5050840000.0,5.0,109.07,1013.0,14.6,335357.0,2.28,62.6
2008-05-01,12638.320313,694.1005860000005,4530790000.0,5.4,122.8,973.0,14.7,337762.0,1.98,59.8
2008-06-01,11350.009766,1350.5205080000014,5309950000.0,5.6,132.32,1046.0,14.4,338234.0,2.0,56.4
2008-07-01,11378.019531,870.4599609999987,5551580000.0,5.8,132.72,923.0,13.0,336570.0,2.01,61.2
2008-08-01,11543.959961,645.5800789999994,3578210000.0,6.1,113.24,844.0,14.1,333836.0,2.0,63.0
2008-09-01,10850.660156,1424.7197269999997,6302330000.0,6.1,97.23,820.0,13.0,328031.0,1.81,70.3
2008-10-01,9325.009766,3000.0097650000007,8311580000.0,6.5,71.58,777.0,10.9,314648.0,0.97,57.6
2008-11-01,8829.040039,2204.570312,6262880000.0,6.8,52.45,652.0,10.5,301638.0,0.39,55.3
2008-12-01,8776.389648,907.9101559999999,5701870000.0,7.3,39.95,560.0,10.4,294241.0,0.16,60.1
2009-01-01,8000.859863,1179.0297849999997,6261980000.0,7.8,43.44,490.0,9.8,298823.0,0.15,61.2
2009-05-01,8500.330078,492.6196289999998,6734390000.0,9.4,57.3,540.0,10.2,296560.0,0.18,68.7
2009-06-01,8447.0,618.5,5524080000.0,9.5,68.61,585.0,10.1,301858.0,0.21,70.8
2009-07-01,9171.610352,1159.2397470000005,4902340000.0,9.5,64.44,594.0,11.6,302514.0,0.16,66.0
2009-08-01,9496.280273,513.6806639999995,4042210000.0,9.6,72.51,586.0,14.8,309012.0,0.16,65.7
2009-09-01,9712.280273,665.0605460000006,4478480000.0,9.8,67.65,585.0,9.5,300953.0,0.15,73.5
2009-10-01,9712.730469,689.3896489999988,5151150000.0,10.0,72.77,534.0,10.6,304078.0,0.12,70.6
2009-11-01,10344.839844,816.6601570000003,3813550000.0,9.9,76.66,588.0,11.0,306799.0,0.12,67.4
2009-12-01,10428.049805,344.70019500000126,4174040000.0,9.9,74.46,581.0,11.3,308518.0,0.12,72.5
2010-01-01,10067.330078,686.1396480000003,4424700000.0,9.8,76.17,614.0,10.9,308751.0,0.11,74.4
2010-02-01,10325.259766,603.4599610000005,4279660000.0,9.8,73.75,604.0,10.3,308568.0,0.13,73.6
2010-03-01,10856.629883,629.3808599999993,4388530000.0,9.9,78.83,636.0,11.8,316150.0,0.16,73.6
2010-04-01,11008.610352,413.91992199999913,4237550000.0,9.9,84.82,687.0,11.5,318437.0,0.2,72.2
2010-05-01,10136.629883,1403.189452999999,5605690000.0,9.6,75.95,583.0,12.0,315608.0,0.2,73.6
2010-06-01,9774.019531,840.3203119999998,4941680000.0,9.4,74.76,536.0,11.6,314973.0,0.18,76.0
2010-07-01,10465.94043,970.6699210000006,4243320000.0,9.4,75.58,546.0,11.9,315424.0,0.18,67.8
2010-08-01,10014.719727,783.3203130000002,4117550000.0,9.5,77.04,599.0,12.0,317103.0,0.19,68.9
2010-09-01,10788.049805,932.8701170000004,3764970000.0,9.5,77.84,594.0,11.9,319901.0,0.19,68.2
2010-10-01,11118.490234,536.4794920000004,3787250000.0,9.4,82.67,543.0,12.4,324218.0,0.19,67.7
2010-11-01,11006.019531,522.25,3808130000.0,9.8,85.28,545.0,12.3,327620.0,0.19,71.6
2010-12-01,11577.509766,617.7695309999999,3252900000.0,9.3,91.45,539.0,12.6,329707.0,0.18,74.5
2011-01-01,11891.929688,446.6494139999995,3681720000.0,9.1,96.52,630.0,12.8,332559.0,0.17,74.2
2011-02-01,12226.339844,498.7900389999995,3220480000.0,9.0,103.72,517.0,13.1,334544.0,0.16,77.5
2011-03-01,12319.730469,827.9794920000004,3851830000.0,9.0,114.64,600.0,13.3,337858.0,0.14,67.5
2011-04-01,12810.540039,738.9404300000006,3321090000.0,9.1,123.26,554.0,13.3,340212.0,0.1,69.8
2011-05-01,12569.790039,566.4804690000001,3578020000.0,9.0,114.99,561.0,12.3,339352.0,0.09,74.3
2011-06-01,12414.339844,706.9599610000005,3876460000.0,9.1,113.83,608.0,11.9,341532.0,0.09,71.5
2011-07-01,12143.240234,670.4394530000009,3092480000.0,9.0,116.97,623.0,12.7,341414.0,0.07,63.7
2011-08-01,11613.530273,1678.349608999999,6203230000.0,9.0,110.22,585.0,12.6,342104.0,0.1,55.8
2011-09-01,10913.379883,1119.7001959999998,4396520000.0,9.0,112.83,650.0,13.4,345346.0,0.08,59.5
2011-10-01,11955.009766,1879.8193359999987,3907730000.0,8.8,109.55,610.0,13.7,348095.0,0.07,60.8
2011-11-01,12045.679688,956.080077999999,3263110000.0,8.6,110.77,711.0,13.7,349379.0,0.08,63.7
2011-12-01,12217.55957,593.2792969999991,3071480000.0,8.5,107.87,694.0,13.8,349798.0,0.07,69.9
2012-01-01,12632.910156,620.7597649999989,2981080000.0,8.3,110.69,723.0,14.4,352643.0,0.08,75.0
2012-02-01,12952.070313,422.9902340000008,2712170000.0,8.3,119.33,704.0,15.0,357047.0,0.1,75.3
2012-03-01,13212.040039,554.2197260000012,3203390000.0,8.2,125.45,695.0,14.6,358917.0,0.13,76.2
